mapTitle,lat,long,logo
Cafe Mziuri,41.71067314,44.7688157,red.png
Arena #1,41.71798304,44.7429073,red.png
Caritas Head Office,41.7291786,44.72603998,red.png
Caritas Georgia,41.75001071,44.78312448,red.png
Tbilisi Green School,41.76232397,44.77177082,red.png
"Georgian-German school ""sunlight""",41.73449495,44.72620182,red.png
Sulkhan Saba Orbeliani University,41.72298699,44.74347401,red.png
Logos International Academy,41.72578212,44.76925434,red.png
Eco-Taxi Vake Garage,41.70526,44.76854,green.png
Green market,42.33113,42.5937,blue.png
Grand Mall,42.25114,42.68401,blue.png
Akaki Tsereteli State University,42.24505,42.71279,blue.png
Sorting station,41.62112,41.60804,green.png
LoGeek club,41.63173,41.60987,blue.png
Luna Tea Shop,41.65179,41.64204,blue.png
Terminal Batumi,41.65218,41.63813,blue.png
Drunk cherry,41.65155,41.63795,blue.png
Linx Coworking,41.65145,41.63945,blue.png
Istanbul Restaurant,41.64915,41.64327,blue.png
PET SHOP,41.64599,41.6414,blue.png
Narnia timecafe,41.64568,41.64131,blue.png
TACTICAL,41.64427,41.63533,blue.png
IM-PULS- zoo shop,41.6444,41.62863,blue.png
O!Coworking,41.64133,41.62825,blue.png
Recycling bin,41.63259,41.62847,yellow.png
Recycling bin,41.63674,41.61068,yellow.png
Recycling bin,41.63555,41.61093,yellow.png
Recycling bin,41.63478,41.61281,yellow.png
Recycleaf ,41.65143,41.64,yellow.png
Recycling bin,41.62903,41.60277,yellow.png
Recycling bin,41.63176,41.6031,yellow.png
Recycling bin,41.63366,41.60694,yellow.png
Recycling bin,41.63484,41.60662,yellow.png
Recycling bin,41.63474,41.61037,yellow.png
Recycling bin,41.63722,41.60956,yellow.png
 Recycling bin,41.63938,41.61179,yellow.png
Recycling bin,41.64284,41.61639,yellow.png
Recycling bin,41.64359,41.61803,yellow.png
Recycling bin,41.64353,41.62078,yellow.png
Recycling bin,41.6429,41.62426,yellow.png
Recycling bin,41.64575,41.62567,yellow.png
Recycling bins,41.64758,41.63741,green.png
Recycling bins,41.64737,41.62342,green.png
Polyvim,41.53759,45.04479,yellow.png
 Eco Centre,41.54569,45.00505,yellow.png
Clean World Warehouse,41.69989,44.92913,yellow.png
Emmaus Geo,41.69147,44.89617,red.png
East Point Main Building,41.68951,44.89664,blue.png
Body-Shop,41.68985,44.89787,yellow.png
Petit Bazar (toys and kids accessories shop),41.70864,44.75774,blue.png
Zero Effect Space,41.70794,44.78383,yellow.png
Kenkra Shop,41.70693,44.78172,blue.png
Shpana Vegan Cafe,41.7104,44.80007,blue.png
Makuliteratura,41.73823,44.78096,tree.png
Tbilisi German International School,41.71327,44.72136,green.png
East Point Main Building,41.68951,44.89664,blue.png
Clean World Warehouse,41.69989,44.92913,yellow.png